ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
206;Emmendingen;2012;40,13;42,98;6,71;65,08;8,54;2331,69;231,51;370,66;553,01;34,44;680;70;102,94;12,89;7,99;34,95;6,2;36,1;west;52,87
207;Ortenaukreis;2012;38,34;42,97;5,82;66,14;7,34;2485,01;221,25;551,56;578,93;33,99;1861;231;124,13;16,41;7,56;59,23;5,4;27,2;west;2563,16
208;Rottweil;2012;50,87;43,04;5,65;63,47;7,35;2486,18;176,17;677,92;607,57;42,53;769;75;97,53;11,96;8,15;70,05;6;29,9;west;1275,76
209;Schwarzwald-Baar-Kreis;2012;42,11;43,77;5,83;62,88;8,27;2561,13;199,54;540,51;568,91;38,41;1025;113;110,24;17,65;6,25;65,93;6,1;49,3;west;1054,21
210;Tuttlingen;2012;59,94;42,16;5,51;62,88;6,66;2725,56;180,4;747,49;570,4;54,74;734;80;108,99;15,78;6,91;83,88;2,8;31,6;west;1952,81
211;Konstanz;2012;34,11;42,86;6,63;57,31;12,69;2418,84;330,78;446,83;521,41;24,7;818;136;166,26;9,81;16,95;67,07;5,9;43;west;619,56
212;Lörrach;2012;41,23;42,86;7,58;62,11;7,84;2521,9;273,44;519,42;550,74;30,67;807;104;128,87;14,03;9,19;56,96;3,7;37,8;west;685,13
213;Waldshut;2012;37,22;42,97;5,84;64,56;6,29;2293,12;144,72;414,34;573,82;32,71;1131;75;66,31;16,47;4,03;47,43;4,2;46;west;644,34
214;Reutlingen;2012;42,27;42,79;7,5;60,42;12,16;2603,76;251,38;515,39;580;34,86;1093;145;132,66;35,32;3,76;66,87;4,3;43;west;1916,93
215;Tübingen;2012;27,8;40,29;7,42;54,4;21,57;2466,64;413,9;394,41;512,18;24,08;519;104;200,39;16,29;12,3;68,23;8,8;32,9;west;2070,66
216;Zollernalbkreis;2012;44,16;43,82;5,66;63,78;7,2;2485,48;201,22;462,99;614,85;40,59;918;91;99,13;27,88;3,56;52,36;3,1;32,6;west;3302,98
